"id","type","topic","question","options","correctAnswer","answerText","explanation","correctedFromDump"
"1","drag-drop","Support & SLA","Your company intends to subscribe to an Azure support plan. The support plan must allow new support requests to be opened. Which of the available support plans (Basic, Developer, Standard, Professional Direct, Premier) allow this?","","Developer, Standard, Professional Direct, Premier","Developer, Standard, Professional Direct, and Premier support plans allow opening technical support requests.","Every paid Azure support plan (Developer, Standard, Professional Direct, Premier) can open technical support cases. The free Basic plan cannot open technical support requests, so it is excluded.","True"
"2","single","Storage","You are configuring two datacenters as geo-clustered sites for site resiliency. Data must be stored on multiple nodes, in separate geographic locations, and must be readable from the secondary location as well as the primary. Which Azure storage redundancy option should you recommend?","A. Geo-redundant storage | B. Read-only geo-redundant storage | C. Zone-redundant storage | D. Locally redundant storage","B","Read-only geo-redundant storage (RA-GRS)","RA-GRS replicates data to a secondary region and provides read access to that secondary copy, satisfying the requirement to read from the secondary location. Plain GRS keeps a secondary copy but does not allow reading it unless a failover occurs; ZRS and LRS keep data within a single region.","False"
"3","single","Support & SLA","Your company's Azure subscription has a Basic support plan. They want Microsoft to assess an Azure environment's design, which the Basic plan does not support, while keeping costs to a minimum. Solution: You recommend subscribing to the Professional Direct support plan. Does the solution meet the goal?","A. Yes | B. No","B","No","A design/architecture assessment first becomes available at the Standard plan, which is cheaper than Professional Direct. Because Professional Direct is not the lowest-cost plan that meets the requirement, the solution does not meet the goal.","False"
"4","single","Cloud Concepts","You are tasked with deploying Azure virtual machines for your company and must choose the appropriate cloud service model. Solution: You use Software as a Service (SaaS). Does the solution meet the goal?","A. Yes | B. No","B","No","Deploying and managing virtual machines is an Infrastructure as a Service (IaaS) scenario. SaaS delivers finished applications and gives you no control over the underlying VMs, so it does not meet the goal.","False"
"5","single","Cloud Concepts","You are tasked with deploying Azure virtual machines for your company and must choose the appropriate cloud service model. Solution: You use Platform as a Service (PaaS). Does the solution meet the goal?","A. Yes | B. No","B","No","Virtual machines are provided through Infrastructure as a Service (IaaS), not PaaS. PaaS abstracts away the underlying VMs and OS, so it does not meet the goal.","False"
"6","single","Cloud Concepts","You are tasked with deploying Azure virtual machines for your company and must choose the appropriate cloud service model. Solution: You use Infrastructure as a Service (IaaS). Does the solution meet the goal?","A. Yes | B. No","A","Yes","Azure virtual machines are a core IaaS offering, giving you control over the OS and installed software while Azure manages the physical hardware. IaaS is the correct model, so the solution meets the goal.","False"
"7","single","Compute","Developers have created 10 web applications to host on Azure. The plan must support custom domains, 10 GB of storage per app, dedicated compute instances for each app, and load balancing between instances, while minimizing cost. Which App Service tier should you use?","A. Standard | B. Basic | C. Free | D. Shared","A","Standard","Load balancing/auto-scaling and support for many instances first appear in the Standard tier (up to 10 instances, 50 GB storage, custom domains and SSL). Free and Shared don't support custom domains/dedicated instances or load balancing, and Basic supports dedicated instances but not built-in load balancing/auto-scale.","False"
"8","single","Governance","You are migrating a company to Azure. Each division needs its own administrator to manage its Azure resources, and you want to segment Azure for the divisions while keeping administrative effort to a minimum. Solution: You use several Azure Active Directory (Microsoft Entra ID) directories. Does the solution meet the goal?","A. Yes | B. No","B","No","Creating multiple Entra ID (Azure AD) directories greatly increases administrative overhead. Segmentation with delegated administration is better achieved with a single directory using management groups, subscriptions, resource groups, and RBAC, so the solution does not meet the goal.","False"
"9","single","Compute","A publicly accessible portal web app must be hosted on Azure. Requirements: use the custom URL miami.weyland.com, deploy to two instances, include SSL support, require 12 GB of storage, and minimize cost. Which App Service tier should you use?","A. Standard | B. Basic | C. Free | D. Shared","A","Standard","The 12 GB storage requirement exceeds the Basic tier limit of 10 GB, and the Standard tier provides 50 GB of storage plus custom domains, SSL, multiple instances and load balancing. Free and Shared offer only ~1 GB, so Standard is the lowest tier that fits.","False"
"10","single","Cost Management","Your company plans to migrate all its Hyper-V virtual machines to an Azure pay-as-you-go subscription and must use the correct expenditure model. Solution: You recommend the elastic expenditure model. Does the solution meet the goal?","A. Yes | B. No","B","No","There is no 'elastic' expenditure model; elasticity is a characteristic of cloud computing, not a spending model. The two expenditure models are capital expenditure (CapEx) and operational expenditure (OpEx), so this does not meet the goal.","False"
